セクション,セクション_ja,項目,項目_ja,2025年モデル 改良版 E 260 L,2025年モデル 改良版 E 260 L スポーツタイプ,2025年モデル 改良版 E 260 L 4MATIC,2025年モデル 改良版 E 260 L 4MATIC スポーツタイプ,2025年モデル 改良版 E 300 L ファッショナブルタイプ,2025年モデル 改良版 E 300 L ファッショナブルスポーツタイプ,2025年モデル 改良版 E 300 L ラグジュアリータイプ,2025年モデル 改良版 E 300 L ラグジュアリースポーツタイプ,2025年モデル 改良版 E 300 L プレミアムタイプ,2025年モデル 改良版 E 300 L プレミアムスポーツタイプ
nan,なし,厂商指导价(元),メーカー希望小売価格,"45.18万元（日本円9,487,800円）","45.18万元（日本円9,487,800円）","47.78万元（日本円10,033,800円）","47.78万元（日本円10,033,800円）","49.98万元（日本円10,495,800円）","49.98万元（日本円10,495,800円）","52.98万元（日本円11,125,800円）","52.98万元（日本円11,125,800円）","59.98万元（日本円12,595,800円）","59.98万元（日本円12,595,800円）"
nan,なし,,,37.78万,37.78万,39.98万,39.98万,43.98万,42.98万,49.98万,49.98万,49.98万,49.98万
基本,基本,厂商,メーカー,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京メルセデス・ベンツ,北京奔驰,北京奔驰
基本,基本,级别,クラス,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型車,中大型车,中大型车
基本,基本,能源类型,エネルギータイプ,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,ガソリン＋48Vマイルドハイブリッドシステム,汽油+48V轻混系统,汽油+48V轻混系统
基本,基本,环保标准,環境基準,国6,国6,国6,国6,国6,国6,国6,国6,国VI,国VI
基本,基本,上市时间,発売時期,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03
基本,基本,最大功率(kW),最大出力(kW),150,150,150,150,190,190,190,190,190,190
基本,基本,最大扭矩(N·m),最大トルク(N·m),320,320,320,320,400,400,400,400,400,400
基本,基本,变速箱,トランスミッション,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9速AT（マニュアルモード付）,9挡手自一体,9挡手自一体
基本,基本,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4门5座三厢车,4门5座三厢车
基本,基本,发动机,エンジン,2.0T 204馬力 L4,2.0T 204馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258馬力 L4,2.0T 258马力 L4,2.0T 258马力 L4
