セクション,セクション_ja,項目,項目_ja,2026年モデル 3000万台記念 280TSI DSG コンフォート,2026年モデル 3000万台記念 280TSI DSG ラグジュアリー,2026年モデル 3000万台記念 380TSI DSG ラグジュアリー,2025年モデル 改良版2 众享 280TSI DSG ラグジュアリー,2025年モデル 众享 280TSI DSG コンフォート,2025年モデル 改良版 众享 280TSI DSG ラグジュアリー,2025年モデル 众享 280TSI DSG ラグジュアリー,2025年モデル 改良版2 众享 330TSI DSG ラグジュアリー,2025年モデル 改良版 众享 330TSI DSG ラグジュアリー,2025年モデル 众享 330TSI DSG ラグジュアリー,2024年モデル 300TSI DSG プレミアムエディション,2024年モデル 300TSI DSG プレミアムエディション アピアランスパッケージ,2024年モデル 380TSI DSG プレミアムプラスエディション,2024年モデル 380TSI DSG プレミアムプラスエディション 大迈パッケージ,2024年モデル 380TSI DSG プラチナエディション
,nan,厂商指导价(元),メーカー希望小売価格(元),"17.49万元（日本円 約3,672,900円）","17.69万元（日本円 約3,714,900円）","20.69万元（日本円 約4,344,900円）","17.69万元（日本円 約3,714,900円）","17.49万元（日本円 約3,672,900円）","17.69万元（日本円 約3,714,900円）","17.69万元（日本円 約3,714,900円）","20.69万元（日本円 約4,344,900円）","20.69万元（日本円 約4,344,900円）","20.69万元（日本円 約4,344,900円）","17.99万元（日本円 約3,777,900円）","18.99万元（日本円 約3,987,900円）","20.99万元（日本円 約4,407,900円）","22.59万元（日本円 約4,743,900円）","24.69万元（日本円 約5,184,900円）"
,nan,经销商报价,ディーラー販売価格（元）,"13.78万元（日本円 約2,893,800円）","13.98万元（日本円 約2,935,800円）","16.98万元（日本円 約3,565,800円）","13.98万元（日本円 約2,935,800円）","13.78万元（日本円 約2,893,800円）","13.98万元（日本円 約2,935,800円）","13.98万元（日本円 約2,935,800円）","16.98万元（日本円 約3,565,800円）","16.98万元（日本円 約3,565,800円）","16.98万元（日本円 約3,565,800円）","15.99万元（日本円 約3,357,900円）","16.99万元（日本円 約3,567,900円）","18.99万元（日本円 約3,987,900円）","20.59万元（日本円 約4,323,900円）","22.69万元（日本円 約4,764,900円）"
基本参数,基本仕様,厂商,メーカー,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン,一汽フォルクスワーゲン
基本参数,基本仕様,级别,クラス,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車,ミドルクラス車
基本参数,基本仕様,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
基本参数,基本仕様,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
基本参数,基本仕様,上市时间,発売時期,2025.10,2025.10,2025.10,2025.05,2024.10,2025.02,2025.01,2025.05,2025.02,2024.10,2024.07,2024.07,2024.07,2024.07,2024.07
基本参数,基本仕様,最大功率(kW),最大出力(kW),110,110,162,110,110,110,110,137,137,137,118,118,162,162,162
基本参数,基本仕様,最大扭矩(N·m),最大トルク(N·m),250,250,350,250,250,250,250,320,320,320,250,250,350,350,350
基本参数,基本仕様,变速箱,トランスミッション,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速湿式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
